Country,Kidney Disease Rate,Malaria Rate,Skin Cancer Rate,Population,Latitude,Longitude,Weathercode,Max Temp.,Min Temp.,Precipitation,Rain,Shortwave Radiation,People with Kidney D.,People with Malaria,People with Skin Cancer,Risk Evaluation
Nepal,21.28,0.0,2.13,3989252.0,27.75965,84.40842,63.67,30.4,22.44,7.21,0.6,15.68,848912.83,0.0,84971.07,Low Risk Country
Algeria,21.12,0.0,2.0,19039658.0,35.44413,3.47887,13.17,30.02,18.28,0.42,0.05,20.87,4021175.77,0.0,380793.16,Low Risk Country
Dominican Rep.,20.79,0.04,1.71,,,,,,,,,,,,,Low Risk Country
Tunisia,20.6,0.0,1.69,4896738.0,35.72347,9.98362,12.33,33.22,19.07,0.08,0.01,20.47,1008728.03,0.0,82754.87,Low Risk Country
India,19.9,0.59,0.47,308535980.0,21.68598,79.28623,64.13,29.11,21.6,12.14,0.81,14.69,61398660.02,1820362.28,1450119.11,Low Risk Country
Lebanon,19.79,0.0,4.6,4274250.0,33.80541,35.67922,15.36,24.57,14.78,0.37,0.0,21.44,845874.08,0.0,196615.5,Low Risk Country
Cambodia,19.52,0.64,1.68,3524321.0,12.30229,104.56564,80.29,31.48,25.01,8.41,0.09,17.04,687947.46,22555.65,59208.59,Low Risk Country
Indonesia,19.3,0.44,1.61,70092795.0,-3.83631,112.51082,74.85,27.93,26.99,9.01,0.04,18.18,13527909.44,308408.3,1128494.0,Low Risk Country
Turkey,19.06,0.0,1.73,63717971.0,39.04154,34.79225,17.12,23.31,11.54,0.46,0.08,19.97,12144645.27,0.0,1102320.9,Low Risk Country
Madagascar,18.76,22.36,3.69,4732673.0,-19.35448,47.38451,24.31,22.07,10.74,1.67,0.08,20.14,887849.45,1058225.68,174635.63,Medium Risk Country
Oman,18.16,0.0,0.75,2579609.0,23.19488,57.16062,23.24,30.61,19.91,1.11,0.12,20.49,468456.99,0.0,19347.07,Low Risk Country
Mongolia,17.88,0.0,0.81,1445731.0,47.49002,102.3956,29.38,13.9,0.51,1.09,0.22,16.35,258496.7,0.0,11710.42,Low Risk Country
Iran,17.84,0.0,0.77,40072202.0,33.67961,51.90969,3.97,32.86,21.51,0.12,0.09,21.81,7148880.84,0.0,308555.96,Low Risk Country
Azerbaijan,17.11,0.0,1.44,4384421.0,40.29711,47.75473,20.96,28.18,17.07,0.44,0.17,16.71,750174.43,0.0,63135.66,Low Risk Country
Saint Vincent,16.54,0.0,0.87,,,,,,,,,,,,,Low Risk Country
Israel,16.54,0.0,2.83,8480241.0,32.27988,35.0622,8.02,29.26,20.14,0.27,0.0,20.89,1402631.86,0.0,239990.82,Low Risk Country
Solomon Isl.,16.49,32.22,0.0,,,,,,,,,,,,,Low Risk Country
Barbados,16.3,0.0,0.57,109103.0,13.18311,-59.57415,57.48,28.17,24.47,3.14,0.0,20.73,17783.79,0.0,621.89,Low Risk Country
No Macedonia,15.54,0.0,4.0,,,,,,,,,,,,,Low Risk Country
Brazil,15.46,0.02,2.06,134594036.0,-15.93628,-45.34543,23.12,29.43,17.81,1.85,0.21,20.28,20808237.97,26918.81,2772637.14,Low Risk Country
Turkmenistan,14.39,0.0,1.38,2015858.0,39.05921,59.86378,5.65,29.79,18.69,0.09,0.02,19.98,290081.97,0.0,27818.84,Low Risk Country
Uruguay,14.07,0.0,2.34,2694273.0,-33.57798,-56.20697,30.66,19.57,8.55,2.02,0.68,16.22,379084.21,0.0,63045.99,Low Risk Country
Chile,13.52,0.0,1.83,13178789.0,-34.09079,-71.73219,25.05,15.59,9.36,1.8,0.7,17.26,1781772.27,0.0,241171.84,Low Risk Country
Montenegro,13.42,0.0,1.12,496702.0,42.54635,19.17884,23.77,26.1,15.68,4.39,0.95,16.8,66657.41,0.0,5563.06,Low Risk Country
United States,13.08,0.0,2.36,267757731.0,38.43291,-90.31867,26.66,24.74,13.22,1.9,0.53,18.01,35022711.21,0.0,6319082.45,Low Risk Country
New Guinea,13.07,28.53,9.28,,,,,,,,,,,,,Medium Risk Country
North Korea,12.98,0.0,0.55,,,,,,,,,,,,,Low Risk Country
Uzbekistan,12.57,0.0,0.73,8279496.0,40.54811,67.15865,13.33,27.32,15.69,0.37,0.19,18.99,1040732.65,0.0,60440.32,Low Risk Country
Georgia,12.52,0.0,2.09,2386094.0,42.09693,43.21342,43.52,24.05,15.23,4.05,1.23,14.64,298738.97,0.0,49869.36,Low Risk Country
Kuwait,12.44,0.0,1.24,1698635.0,29.22847,48.04711,5.35,38.02,27.53,0.26,0.05,21.73,211310.19,0.0,21063.07,Low Risk Country
Colombia,12.32,0.05,1.84,38170592.0,5.68069,-74.75902,74.73,30.8,23.12,5.92,0.01,19.91,4702616.93,19085.3,702338.89,Low Risk Country
Greece,12.11,0.0,1.61,8833274.0,38.90449,23.20707,20.2,25.0,17.6,1.44,0.54,18.56,1069709.48,0.0,142215.71,Low Risk Country
Singapore,12.04,0.0,0.71,6047820.0,1.33757,103.85838,84.53,30.1,25.73,7.57,0.16,15.21,728157.53,0.0,42939.52,Low Risk Country
