Country,KD Rank,KD Rate,M Rank,M Rate,SC Rank,SC Rate,weathercode,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,shortwave_radiation_sum,Population,Latitude,Longitude
New Guinea,128.0,13.07,34.0,28.53,1.0,9.28,,,,,,,,,
North Korea,129.0,12.98,68.0,0.0,160.0,0.55,,,,,,,,,
Uzbekistan,130.0,12.57,182.0,0.0,149.0,0.73,13.33,27.32,15.69,0.37,0.19,18.99,8279496.0,40.54811,67.15865
Georgia,131.0,12.52,107.0,0.0,78.0,2.09,43.52,24.05,15.23,4.05,1.23,14.64,2386094.0,42.09693,43.21342
Kuwait,132.0,12.44,124.0,0.0,129.0,1.24,5.35,38.02,27.53,0.26,0.05,21.73,1698635.0,29.22847,48.04711
Colombia,133.0,12.32,59.0,0.05,94.0,1.84,74.73,30.8,23.12,5.92,0.01,19.91,38170592.0,5.68069,-74.75902
Greece,134.0,12.11,109.0,0.0,110.0,1.61,20.2,25.0,17.6,1.44,0.54,18.56,8833274.0,38.90449,23.20707
Singapore,135.0,12.04,162.0,0.0,150.0,0.71,84.53,30.1,25.73,7.57,0.16,15.21,6047820.0,1.33757,103.85838
Romania,136.0,11.95,154.0,0.0,48.0,2.6,49.96,20.07,9.5,1.42,0.34,14.43,24913257.0,45.80384,25.13142
Bulgaria,137.0,11.77,89.0,0.0,72.0,2.17,27.77,17.92,10.8,1.71,0.42,16.16,5333123.0,42.80929,25.17351
Croatia,138.0,11.17,95.0,0.0,21.0,3.49,51.96,23.15,12.08,2.3,1.19,14.33,3114171.0,45.14743,16.46729
Armenia,139.0,10.63,75.0,0.0,127.0,1.36,18.37,22.81,12.74,0.65,0.13,18.89,2516274.0,40.30572,44.63803
Bosnia/Herzeg.,140.0,10.63,87.0,0.0,67.0,2.26,,,,,,,,,
China,141.0,10.39,93.0,0.0,137.0,1.05,37.84,22.29,14.78,2.7,1.33,14.35,673973115.0,32.65788,110.04284
South Korea,142.0,9.92,67.0,0.0,157.0,0.6,,,,,,,,,
Bangladesh,143.0,9.14,61.0,0.03,153.0,0.68,63.46,31.83,24.36,6.45,0.59,15.87,26730551.0,23.83343,90.13452
Kazakhstan,144.0,9.09,122.0,0.0,113.0,1.57,17.12,18.45,7.01,0.45,0.07,15.64,10074283.0,48.498,69.3851
Cyprus,145.0,9.09,97.0,0.0,88.0,1.96,11.48,27.94,16.89,0.24,0.0,20.68,886319.0,34.97266,33.21976
Tajikistan,146.0,8.73,171.0,0.0,140.0,0.91,34.44,11.01,4.61,3.85,0.21,17.25,1907246.0,38.73689,69.52499
Albania,147.0,8.43,71.0,0.0,126.0,1.38,26.46,27.56,15.87,2.29,0.49,17.33,1670961.0,41.10195,20.01711
Cuba,148.0,8.34,96.0,0.0,63.0,2.28,51.68,29.33,21.79,2.06,0.02,20.02,10865255.0,21.93496,-79.61277
Slovakia,149.0,8.06,163.0,0.0,20.0,3.59,44.04,18.96,7.7,1.58,0.63,13.9,2969797.0,48.71345,19.18659
Kyrgyzstan,150.0,8.04,125.0,0.0,124.0,1.41,40.92,23.09,13.5,3.66,1.1,17.59,2105772.0,41.15839,72.8737
Austria,151.0,7.82,77.0,0.0,43.0,2.71,51.29,16.41,9.01,4.04,2.87,13.19,8171237.0,47.61717,14.36834
Germany,152.0,7.81,108.0,0.0,84.0,2.02,44.2,17.12,9.33,1.72,0.99,13.32,88876287.0,50.634,10.23518
Belgium,153.0,7.64,83.0,0.0,75.0,2.14,43.31,19.74,10.84,2.12,1.36,12.91,15411242.0,50.73683,4.52012
Japan,154.0,7.61,120.0,0.0,167.0,0.42,56.02,19.11,12.05,6.3,3.18,13.3,110070300.0,35.95657,136.9368
Portugal,155.0,7.45,151.0,0.0,92.0,1.88,28.42,19.68,18.33,1.85,0.13,17.73,8667676.0,39.56948,-9.84642
Malta,156.0,6.68,134.0,0.0,118.0,1.5,11.93,27.78,22.22,0.58,0.07,19.49,401235.0,35.91646,14.43106
Czech Republic,157.0,6.53,98.0,0.0,39.0,2.77,46.34,17.18,9.67,2.33,1.45,12.25,8621643.0,49.7507,15.73241
Latvia,158.0,6.43,126.0,0.0,29.0,3.11,39.19,15.88,8.48,2.08,0.97,11.38,1695243.0,56.9085,24.57511
Luxembourg,159.0,6.35,131.0,0.0,90.0,1.92,46.13,19.42,9.64,1.71,1.03,13.64,372772.0,49.69513,6.11127
Ireland,160.0,6.12,116.0,0.0,28.0,3.15,37.33,16.38,8.99,2.44,1.38,11.06,3961244.0,53.2094,-7.37304
Denmark,161.0,5.79,99.0,0.0,31.0,3.04,41.85,15.79,12.8,1.81,0.66,12.22,5056318.0,55.86625,10.63437
Spain,162.0,5.51,165.0,0.0,115.0,1.54,20.13,27.09,14.3,0.81,0.19,20.06,52039860.0,40.56075,-3.23094
Moldova,163.0,5.43,153.0,0.0,77.0,2.1,28.59,20.7,11.05,1.0,0.44,14.04,1847686.0,47.12517,28.62968
Netherlands,164.0,5.19,142.0,0.0,33.0,2.94,42.82,19.2,10.43,1.96,1.32,12.48,16408103.0,52.05105,5.4689
Italy,165.0,5.16,118.0,0.0,82.0,2.05,31.37,25.06,13.46,4.28,0.73,17.07,53824248.0,43.42378,11.60015
Australia,166.0,5.16,76.0,0.0,4.0,4.76,23.54,20.64,9.84,1.61,0.4,16.07,40255797.0,-32.26328,144.07703
Sweden,167.0,5.07,168.0,0.0,35.0,2.9,40.96,15.37,8.19,1.71,0.7,11.07,9500790.0,58.97758,15.35415
Canada,168.0,4.99,91.0,0.0,65.0,2.27,40.72,10.66,8.21,2.16,0.95,15.41,32507672.0,47.60813,-86.51517
France,169.0,4.86,106.0,0.0,71.0,2.18,43.16,22.79,12.49,2.22,1.59,14.92,54691966.0,46.99095,2.47562
Lithuania,170.0,4.85,130.0,0.0,30.0,3.09,36.26,16.63,8.62,1.41,0.68,11.51,2835365.0,55.18796,23.82584
Estonia,171.0,4.73,103.0,0.0,52.0,2.51,41.16,15.13,7.35,1.23,0.39,11.02,997940.0,58.86021,25.5141
Russia,172.0,4.7,155.0,0.0,58.0,2.35,,,,,,,,,
Poland,173.0,4.69,150.0,0.0,42.0,2.72,39.01,17.52,9.67,1.83,0.65,12.51,29146631.0,51.458,19.48433
Switzerland,174.0,4.61,169.0,0.0,55.0,2.39,57.8,18.51,9.26,3.9,2.68,14.38,7375148.0,47.06528,8.11235
Norway,175.0,4.28,146.0,0.0,14.0,3.96,43.53,9.16,2.16,1.67,0.96,9.92,3337963.0,62.08111,10.36443
New Zealand,176.0,4.19,143.0,0.0,3.0,6.63,46.63,14.24,12.76,5.03,1.95,14.11,5638908.0,-40.07134,173.40483
Iceland,177.0,4.0,113.0,0.0,85.0,2.01,58.28,1.0,-1.57,6.4,3.66,9.05,278685.0,64.60836,-20.27493
Hungary,178.0,3.88,112.0,0.0,38.0,2.81,30.5,21.58,11.63,1.3,0.53,14.9,10311030.0,47.3035,19.60546
United Kingdom,179.0,2.86,179.0,0.0,46.0,2.62,37.07,17.44,9.94,1.52,0.87,12.15,70185008.0,52.87165,-1.87258
Ukraine,180.0,2.72,177.0,0.0,44.0,2.7,,,,,,,32847337.0,47.89951,30.79562
Belarus,181.0,2.7,82.0,0.0,99.0,1.81,36.52,16.3,8.52,1.72,0.89,11.63,7097388.0,53.57426,27.81115
Slovenia,182.0,2.34,164.0,0.0,15.0,3.86,41.59,20.62,12.39,3.54,2.52,14.36,1197883.0,46.22262,14.9856
Finland,183.0,2.05,105.0,0.0,68.0,2.23,46.62,13.29,7.04,2.28,0.69,9.82,5856320.0,62.24682,24.91347
